Tipo esercizio storico pubblico esercizio;Insegna;Indirizzo;Tipo via;Nome via;Civico;Codice via;ZD;Forma commercio;Forma commercio precedente;Forma vendita;Settore storico pubblico esercizio;Superficie somministrazione;Tipo_macro;Forma vendita_filled;is_outlier_superficie
bar caffè;funny caffe;"via friuli n. 15 ; isolato:173; accesso: accesso esterno; (z.d. 4)";via;friuli;15;3199;4;solo somministrazione;somministrazione;misto;"prodotti di gastronomia;bar caffè;genere merceol.autorizz.sanit.";35.0;BAR;misto;False
bar caffè;gaboardi pogliani;"vle premuda n. 34 ; isolato:010; accesso: accesso esterno; (z.d. 4)";vle;premuda;34;3063;4;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili;tavola fredda";27.0;BAR;misto;False
bar caffè;galaxy cafe;"via derna n. 27 ; isolato:263; accesso: accesso esterno; (z.d. 2)";via;derna;27;2376;2;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;tavola fredda;cibi cotti preconfezionati";84.0;BAR;al banco;False
bar caffè;gallery sas.;"gll unione n. 4 compreso p.t. e 1 p.interrato;gll unione 004; isolato:470; accesso: accesso interno; (z.d. 1)";gll;unione;4;510;1;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar gastronomici e simili;ristorante;wine,birr.,pub enot.,caff.,the;ristorante, trattoria, osteria;prodotti di gastronomia;bar caffè";179.0;RISTORANTE;misto;False
bar caffè;gambrine;"via marcello benedetto n. 10 ; isolato:077; accesso: accesso esterno; (z.d. 3)";via;marcello benedetto;10;2128;3;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;prodotti di gastronomia;genere merceol.autorizz.sanit.";101.0;BAR;al banco;False
bar caffè;garbagnati;"via hugo victor n. 3 ;via hugo victor 003; isolato:438; accesso: accesso esterno; (z.d. 1)";via;hugo victor;3;548;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar pasticc.gelat.crem.creper.;bar gastronomici e simili;bar caffè;tavola fredda";89.0;BAR;al banco;False
bar caffè;garden caffe;"via servio tullio n. 4 ; isolato:064; accesso: accesso esterno; (z.d. 1)";via;servio tullio;4;6228;1;solo somministrazione;somministrazione;al banco;"bar caffè;genere merceol.autorizz.sanit.;tavola fredda";38.0;BAR;al banco;False
bar caffè;gas gas paninoteca birrer;"via rossi pellegrino n. 81 ; isolato:178; accesso: accesso esterno; (z.d. 9)";via;rossi pellegrino;81;1510;9;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè e simili;prodotti di gastronomia;bar caffè;tavola fredda";36.0;BAR;al banco;False
bar caffè;g.b.n. bar torrefazione;"via biella n. 26 ; isolato:065; accesso: accesso esterno; (z.d. 6)";via;biella;26;5305;6;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili";50.0;BAR;al banco;False
bar caffè;gconge;"via larga n. 8 ;via larga 008; isolato:390; accesso: accesso esterno; (z.d. 1)";via;larga;8;318;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;cibi cotti preconfezionati;tavola fredda;bar caffè e simili;genere merceol.autorizz.sanit.;disco-piano-americ.bar serali;bar caffè";175.0;BAR;al banco;False
bar caffè;geco bar;"via melloni macedonio n. 16 ; isolato:011; accesso: accesso esterno; (z.d. 4)";via;melloni macedonio;16;3085;4;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;prodotti di gastronomia;bar caffè;tavola fredda;bar gastronomici e simili";84.0;BAR;al banco;False
bar caffè;geco cafe;"pza minniti tito n. 1 ; isolato:269; accesso: accesso esterno; (z.d. 9)";pza;minniti tito;1;1133;9;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;genere merceol.autorizz.sanit.;bar caffè e simili;tavola fredda;bar gastronomici e simili;bar caffè;cibi cotti preconfezionati";28.0;BAR;al banco;False
bar caffè;geco caffe;"via della carita' n. 2 ; isolato:176; accesso: accesso esterno; (z.d. 4)";via;della carita';2;4083;4;solo somministrazione;somministrazione;misto;"tavola fredda;bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.;cibi cotti preconfezionati";53.0;BAR;misto;False
bar caffè;gelat.ecologica caffetter;"pza greco n. 7 ; isolato:065; accesso: accesso esterno; (z.d. 2)";pza;greco;7;1417;2;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;gelateria;bar caffè;tavola fredda";41.0;BAR;al banco;False
bar caffè;gelatera toldo;"via sacchi giuseppe n. 6 ;via ponte vetero 0098; isolato:305; accesso: accesso esterno; (z.d. 1)";via;sacchi giuseppe;6;716;1;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;genere merceol.autorizz.sanit.;bar caffè";41.0;BAR;al banco;False
bar caffè;gelater.caffetter.moscova;"via della moscova n. 13 ; isolato:178; accesso: accesso esterno; (z.d. 1)";via;della moscova;13;1016;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;gelateria";23.0;BAR;al banco;False
bar caffè;gelateria al...bicocca;"vle testi fulvio n. 219 ; isolato:036; accesso: accesso esterno; (z.d. 9)";vle;testi fulvio;219;1441;9;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;genere merceol.autorizz.sanit.;bar caffè";34.0;BAR;al banco;False
bar caffè;gelateria arcobaleno;"via briosi giovanni n. 12 ; isolato:194; pto strada:1 ; (z.d. 3)";via;briosi giovanni;12;3209;3;solo somministrazione;somministrazione;al banco;"bar caffè;genere merceol.autorizz.sanit.;bar pasticc.gelat.crem.creper.;gelateria";20.0;BAR;al banco;False
bar caffè;gelateria caffetteria;"via massara de capitani n. 5 ; isolato:035; accesso: accesso esterno; (z.d. 9)";via;massara de capitani;5;1261;9;somministrazione/minuto;minuto;al banco;"genere merceol.autorizz.sanit.;bar caffè;giochi legge 388/2000;bar caffè e simili";35.0;BAR;al banco;False
bar caffè;gelateria dell isola;"via volturno n. 46 ; isolato:279; accesso: accesso esterno; (z.d. 9)";via;volturno;46;1135;9;solo somministrazione;somministrazione;al banco;"bar pasticc.gelat.crem.creper.;genere merceol.autorizz.sanit.;bar caffè;gelateria";34.0;BAR;al banco;False
bar caffè;gelateria latteria birra;"via ratti luigi num.001/3 ; isolato:039; accesso: accesso esterno; (z.d. 8)";via;ratti luigi;1;6739;8;somministrazione/minuto;somministrazione;misto;"tavola fredda;bar caffè;bar pasticc.gelat.crem.creper.;genere merceol.autorizz.sanit.;giochi legge 388/2000";43.0;BAR;misto;False
bar caffè;gelateria pixi;"vle molise n. 32 ; isolato:106; accesso: accesso esterno; (z.d. 4)";vle;molise;32;3178;4;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;bar caffè;bar pasticc.gelat.crem.creper.;prodotti di gastronomia;tavola fredda;genere merceol.autorizz.sanit.;gelateria";101.0;BAR;misto;False
bar caffè;gelateria rembrandt;"via rembrandt n. 12 ; isolato:289; accesso: accesso esterno; (z.d. 7)";via;rembrandt;12;6618;7;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;gelateria";34.0;BAR;al banco;False
bar caffè;gelateria trentina;"via buonarroti michelangelo n. 3 ; isolato:214; accesso: accesso esterno; (z.d. 7)";via;buonarroti michelangelo;3;6253;7;somministrazione/minuto;somministrazione;al banco;"bar caffè e simili;bar caffè;cibi cotti";50.0;BAR;al banco;False
bar caffè;gi.mi.bar tavola fredda;"vle piave n. 7 ; isolato:164; accesso: accesso esterno; (z.d. 1)";vle;piave;7;2179;1;solo somministrazione;somministrazione;al banco;"tavola fredda;genere merceol.autorizz.sanit.;bar caffè;bar gastronomici e simili";31.0;BAR;al banco;False
bar caffè;ginfizz bar;"via previati gaetano n. 14 ; isolato:160; accesso: accesso esterno; (z.d. 7)";via;previati gaetano;14;6384;7;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;cibi cotti preconfezionati";53.0;BAR;al banco;False
bar caffè;gioco tutto caffetteria;"via satta sebastiano n. 20 ; isolato:053; accesso: accesso esterno; (z.d. 8)";via;satta sebastiano;20;7352;8;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè;tavola fredda;cibi cotti preconfezionati";73.0;BAR;al banco;False
bar caffè;gipsy bar;"cso italia n. 31 ;cso italia 031; isolato:272; accesso: accesso esterno; (z.d. 1)";cso;italia;31;526;1;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;bar caffè;bar caffè e simili;tavola calda;tav.calde,self service,fast f.";118.0;BAR;misto;False
bar caffè;gipsy caffetteria;"via broletto n. 41 ;via broletto 041; isolato:368; accesso: accesso esterno; (z.d. 1)";via;broletto;41;720;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;tavola fredda;bar caffè;cibi cotti preconfezionati";113.0;BAR;al banco;False
bar caffè;gi.rosa;"gll san babila num.004/b /b; isolato:264; accesso: accesso esterno; (z.d. 1)";gll;san babila;4;360;1;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;ristorante;tavola fredda;ristorante, trattoria, osteria;bar caffè e simili;bar caffè";209.0;RISTORANTE;al banco;False
bar caffè;giusy s cafe;"via anselmo da baggio n. 14 ; isolato:191; accesso: accesso esterno; (z.d. 7)";via;anselmo da baggio;14;6782;7;solo somministrazione;somministrazione;al banco;"tavola fredda;bar caffè;genere merceol.autorizz.sanit.;bar gastronomici e simili";44.0;BAR;al banco;False
bar caffè;glass bar;"via san pietro all'orto n. 9 ;via san pietro all'orto 009; isolato:361; accesso: accesso esterno; (z.d. 1)";via;san pietro all'orto;9;213;1;solo somministrazione;somministrazione;al tavolo;bar gastronomici e simili;96.0;BAR;al tavolo;False
bar caffè;gogancia;"via cadolini giovanni n. 39 ; isolato:183; accesso: accesso esterno; (z.d. 4)";via;cadolini giovanni;39;4098;4;solo somministrazione;somministrazione;misto;bar gastronomici e simili;109.0;BAR;misto;False
bar caffè;golde gate cafe;"via garigliano n. 8 ; isolato:278; accesso: accesso esterno; (z.d. 9)";via;garigliano;8;1134;9;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;bar caffè;ristorante, trattoria, osteria;genere merceol.autorizz.sanit.";80.0;RISTORANTE;misto;False
bar caffè;golden bar;"cso monforte n. 39 con ingresso da via vivaio; isolato:026; accesso: accesso esterno; (z.d. 1)";cso;monforte;39;348;1;somministrazione/minuto;minuto;al banco;"bar gastronomici e simili;tavola calda;genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè";76.0;BAR;al banco;False
bar caffè;golden bar;"via colonna marco antonio n. 53 ; isolato:323; accesso: accesso esterno; (z.d. 8)";via;colonna marco antonio;53;7158;8;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;bar caffè e simili;bar caffè;tavola fredda;genere merceol.autorizz.sanit.";23.0;BAR;misto;False
bar caffè;golden bar;"via sapeto giuseppe n. 1 con ingr. da via san calocero; isolato:218; accesso: accesso esterno; (z.d. 1)";via;sapeto giuseppe;1;5163;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè;tavola fredda;prodotti di gastronomia;genere merceol.autorizz.sanit.";53.0;BAR;al banco;False
bar caffè;golden bar;"via statuto n. 4 ; isolato:174; accesso: accesso esterno; (z.d. 1)";via;statuto;4;1029;1;somministrazione/minuto;minuto;al banco;"bar caffè;prodotti di gastronomia;cibi cotti preconfezionati;tavola fredda;bar caffè e simili;bar gastronomici e simili";54.0;BAR;al banco;False
bar caffè;golden bar caffetteria;"cso lodi n. 59 ; isolato:004; accesso: accesso esterno; (z.d. 4)";cso;lodi;59;4068;4;solo somministrazione;somministrazione;misto;"giochi legge 388/2000;bar caffè;genere merceol.autorizz.sanit.;tavola fredda";33.0;BAR;misto;False
bar caffè;golf cafe;"via fatebenefratelli n. 16 ;via fatebenefratelli 016; isolato:251; accesso: accesso esterno; (z.d. 1)";via;fatebenefratelli;16;144;1;solo somministrazione;somministrazione;misto;"cibi cotti preconfezionati;bar caffè;bar caffè e simili;genere merceol.autorizz.sanit.;bar gastronomici e simili";50.0;BAR;misto;False
bar caffè;good luck;"via val d'intelvi n. 14 ; isolato:129; accesso: accesso esterno; (z.d. 7)";via;val d'intelvi;14;6752;7;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar caffè;tavola fredda;genere merceol.autorizz.sanit.";48.0;BAR;al banco;False
bar caffè;gran bar;"via murat gioacchino n. 2 ; isolato:077; accesso: accesso esterno; (z.d. 9)";via;murat gioacchino;2;1316;9;solo somministrazione;somministrazione;al banco;"bar caffè;ristorante;wine,birr.,pub enot.,caff.,the;genere merceol.autorizz.sanit.;bar caffè e simili";229.0;RISTORANTE;al banco;False
bar caffè;gran bar bassini;"via bassini edoardo n. 49 ; isolato:089; accesso: accesso esterno; (z.d. 3)";via;bassini edoardo;49;2587;3;solo somministrazione;somministrazione;misto;"prodotti di gastronomia;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;bar caffè";93.0;BAR;misto;False
bar caffè;gran bar caffe;"via jacopino da tradate n. 11 ; isolato:275; accesso: accesso esterno; (z.d. 8)";via;jacopino da tradate;11;7292;8;solo somministrazione;somministrazione;misto;"bar caffè;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda";74.0;BAR;misto;False
bar caffè;gran bar moderno;"vle coni zugna n. 44 ; isolato:020; accesso: accesso esterno; (z.d. 6)";vle;coni zugna;44;5110;6;solo somministrazione;somministrazione;misto;"tavola fredda;bar caffè;genere merceol.autorizz.sanit.;bar caffè e simili;bar gastronomici e simili;cibi cotti preconfezionati";98.0;BAR;misto;False
bar caffè;grancafe / pizzachef;"via oropa num.004 ; accesso: accesso esterno; (z.d. 2)";via;oropa;4;2381;2;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;prodotti di gastronomia;pizzeria;tavola fredda;bar caffè e simili;bar caffè;bar gastronomici e simili";97.0;PIZZERIA;al banco;False
bar caffè;gran caffe  al foro;"for buonaparte n. 67 ;for buonaparte 067; isolato:239; accesso: accesso esterno; (z.d. 1)";for;buonaparte;67;711;1;solo somministrazione;somministrazione;al banco;"bar caffè;cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda";98.0;BAR;al banco;False
bar caffè;gran caffe  biffi;"cso magenta n. 87 ;cso magenta 087; isolato:068; accesso: accesso esterno; (z.d. 1)";cso;magenta;87;604;1;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.;bar pasticc.gelat.crem.creper.;tavola fredda;bar caffè e simili";137.0;BAR;al banco;False
bar caffè;gran caffe  bonaparte;"via chiarelli luigi n. 10 int. mercato comunale coperto; isolato:018; accesso: accesso esterno; (z.d. 8)";via;chiarelli luigi;10;7519;8;solo somministrazione;somministrazione;al banco;"elettr.automatici meccaniche;genere merceol.autorizz.sanit.;tavola fredda;bar caffè";32.0;BAR;al banco;False
bar caffè;gran caffe  torrefazione;"via arconati costanza n. 9 ; isolato:062; accesso: accesso esterno; (z.d. 4)";via;arconati costanza;9;3211;4;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;bar caffè;bar caffè e simili;genere merceol.autorizz.sanit.";20.0;BAR;al banco;False
bar caffè;gran caffe vecchia sciesa;"via sciesa amatore n. 3 ; isolato:044; accesso: accesso esterno; (z.d. 4)";via;sciesa amatore;3;3072;4;solo somministrazione;somministrazione;misto;"bar caffè;tavola fredda;bar caffè e simili;cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili";54.0;BAR;misto;False
bar caffè;gran caffe  visconteo;"via orefici n. 2 con ingresso su piazza duomo;pza del duomo 001; isolato:436; accesso: accesso esterno; (z.d. 1)";via;orefici;2;547;1;solo somministrazione;somministrazione;misto;"tavola calda;bar caffè;genere merceol.autorizz.sanit.";96.0;BAR;misto;False
bar caffè;grand bleu bar caffe;"via mac mahon n. 88 ; isolato:292; accesso: accesso esterno; (z.d. 8)";via;mac mahon;88;7221;8;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;giochi legge 388/2000;bar caffè;genere merceol.autorizz.sanit.;tavola fredda";24.0;BAR;misto;False
bar caffè;granny bar - tabacchi;"via della moscova n. 66 ; isolato:085; accesso: accesso esterno; (z.d. 1)";via;della moscova;66;1016;1;somministrazione/minuto;somministrazione;misto;"genere merceol.autorizz.sanit.;prodotti di gastronomia;bar caffè;bar gastronomici e simili";41.0;BAR;misto;False
bar caffè;grazia internet cafe;"pza duca d'aosta n. 14 ; isolato:038; accesso: accesso esterno; (z.d. 2)";pza;duca d'aosta;14;1200;2;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè;wine,birr.,pub enot.,caff.,the";59.0;BAR;al banco;False
bar caffè;green bar;"cso sempione n. 49 ; isolato:082; accesso: accesso esterno; (z.d. 8)";cso;sempione;49;7137;8;solo somministrazione;somministrazione;al banco;"prodotti di gastronomia;bar caffè;bar gastronomici e simili;genere merceol.autorizz.sanit.";35.0;BAR;al banco;False
bar caffè;green bar;"via cappellini alfredo n. 10 ; isolato:069; accesso: accesso esterno; (z.d. 2)";via;cappellini alfredo;10;2130;2;solo somministrazione;somministrazione;al banco;"bar caffè e simili;genere merceol.autorizz.sanit.;bar caffè;tavola fredda";39.0;BAR;al banco;False
bar caffè;green bar;"vle famagosta n. 50 ; isolato:078; accesso: accesso esterno; (z.d. 6)";vle;famagosta;50;5353;6;solo somministrazione;somministrazione;misto;"tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.;bar caffè;cibi cotti preconfezionati";65.0;BAR;misto;False
bar caffè;green bar caffetteria;"via cantoni giovanni n. 12 ; isolato:240; accesso: accesso esterno; (z.d. 7)";via;cantoni giovanni;12;6206;7;solo somministrazione;somministrazione;misto;"prodotti di gastronomia;tavola fredda;bar gastronomici e simili;bar caffè;genere merceol.autorizz.sanit.";52.0;BAR;misto;False
bar caffè;green cafe;"via grazioli don bartolomeo n. 2 ; isolato:181; accesso: accesso esterno; (z.d. 9)";via;grazioli don bartolomeo;2;1473;9;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;bar gastronomici e simili;bar caffè e simili;genere merceol.autorizz.sanit.";95.0;BAR;al banco;False
bar caffè;green cat bar;"via oriani barnaba n. 85 ; isolato:205; accesso: accesso esterno; (z.d. 8)";via;oriani barnaba;85;7406;8;solo somministrazione;somministrazione;al banco;"ristorante, trattoria, osteria;giochi legge 388/2000;genere merceol.autorizz.sanit.;bar caffè;tavola fredda;bar caffè e simili";114.0;RISTORANTE;al banco;False
bar caffè;green garden bistrot;"via terruggia giovanni n. 26 ; isolato:064; accesso: accesso esterno; (z.d. 9)";via;terruggia giovanni;26;1533;9;solo somministrazione;somministrazione;misto;"tavola calda;genere merceol.autorizz.sanit.;bar caffè;giochi legge 388/2000";93.0;BAR;misto;False
bar caffè;green house pub;"via gallarate n. 113 ; isolato:213; accesso: accesso esterno; (z.d. 8)";via;gallarate;113;7420;8;solo somministrazione;somministrazione;al banco;"prodotti di gastronomia;bar caffè;genere merceol.autorizz.sanit.;bar gastronomici e simili;elettr.automatici meccaniche;lett. giochi leciti + societa'";101.0;BAR;al banco;False
bar caffè;grossich bar;"via grossich antonio n. 29 ; isolato:082; accesso: accesso esterno; (z.d. 3)";via;grossich antonio;29;2576;3;solo somministrazione;somministrazione;al banco;"bar caffè;genere merceol.autorizz.sanit.;tavola fredda;giochi legge 388/2000";47.0;BAR;al banco;False
bar caffè;guarany;"via delfico melchiorre n. 31 ; isolato:311; accesso: accesso esterno; (z.d. 8)";via;delfico melchiorre;31;7250;8;somministrazione/minuto;minuto;al banco;"bar caffè e simili;genere merceol.autorizz.sanit.;bar caffè";54.0;BAR;al banco;False
bar caffè;guarany caffe;"via delle forze armate n. 9 ; isolato:015; accesso: accesso esterno; (z.d. 7)";via;delle forze armate;9;6643;7;solo somministrazione;somministrazione;al banco;"bar caffè;giochi legge 388/2000;genere merceol.autorizz.sanit.;bar caffè e simili;bar gastronomici e simili;tavola fredda";55.0;BAR;al banco;False
bar caffè;happy bar;"via londonio francesco n. 17 ; isolato:059; accesso: accesso esterno; (z.d. 8)";via;londonio francesco;17;7134;8;somministrazione/minuto;somministrazione;misto;"giochi legge 388/2000;cibi cotti preconfezionati;bar gastronomici e simili;bar caffè;bar caffè e simili;tavola fredda";44.0;BAR;misto;False
bar caffè;hardy qui;"via orefici n. 26 ;via orefici 026; isolato:436; accesso: accesso esterno; (z.d. 1)";via;orefici;26;547;1;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;cibi cotti preconfezionati;tavola fredda;genere merceol.autorizz.sanit.;bar caffè e simili;bar caffè";45.0;BAR;misto;False
bar caffè;hardy rock caffe;"via giambellino n. 128 ; isolato:136; accesso: accesso esterno; (z.d. 6)";via;giambellino;128;5136;6;solo somministrazione;somministrazione;al banco;"bar gastronomici e simili;tavola fredda;bar caffè;genere merceol.autorizz.sanit.";70.0;BAR;al banco;False
bar caffè;harp pub guinnes s;"pza leonardo da vinci n. 10 ; isolato:115; accesso: accesso esterno; (z.d. 3)";pza;leonardo da vinci;10;2208;3;solo somministrazione;somministrazione;misto;"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;bar caffè e simili;ristorante;bar caffè";164.0;RISTORANTE;misto;False
bar caffè;hasta luego cafe;"vle tibaldi n. 5 ; isolato:160; accesso: accesso esterno; (z.d. 5)";vle;tibaldi;5;5234;5;solo somministrazione;somministrazione;al banco;"bar caffè;genere merceol.autorizz.sanit.;tavola fredda;bar gastronomici e simili";30.0;BAR;al banco;False
bar caffè;havana;"vle bligny n. 50 ; isolato:104; accesso: accesso esterno; (z.d. 5)";vle;bligny;50;4045;5;solo somministrazione;somministrazione;al banco;"tav.calde,self service,fast f.;ristorante;genere merceol.autorizz.sanit.;bar caffè;disco-piano-americ.bar serali;pizzeria";146.0;RISTORANTE;al banco;False
bar caffè;havana caffe;"via roncaglia n. 3 ; isolato:291; accesso: accesso esterno; (z.d. 6)";via;roncaglia;3;6122;6;solo somministrazione;somministrazione;misto;"cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè";33.0;BAR;misto;False
bar caffè;hemingway bar;"via capranica luigi n. 18 ; isolato:058; accesso: accesso esterno; (z.d. 3)";via;capranica luigi;18;2564;3;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè e simili;bar pasticc.gelat.crem.creper.;bar caffè;wine,birr.,pub enot.,caff.,the;bar gastronomici e simili;tavola fredda";84.0;BAR;al banco;False
bar caffè;hockey bar;"via f.lli zoia n. 43 con ingresso su via cannizzaro; isolato:042; accesso: accesso esterno; (z.d. 7)";via;f.lli zoia;43;6306;7;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar gastronomici e simili;bar caffè;cibi cotti preconfezionati;tavola fredda";72.0;BAR;al banco;False
bar caffè;holli s bar;"via mac mahon n. 111 ; isolato:277; accesso: accesso esterno; (z.d. 8)";via;mac mahon;111;7221;8;somministrazione/minuto;somministrazione;al banco;"tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.;bar caffè";51.0;BAR;al banco;False
bar caffè;hollywood;"via desiderio da settignano n. 14 ; isolato:214; accesso: accesso esterno; (z.d. 8)";via;desiderio da settignano;14;6395;8;somministrazione/minuto;somministrazione;al banco;"pizzerie e simili;tav.calde,self service,fast f.;bar gastronomici e simili;bar caffè e simili";85.0;PIZZERIA;al banco;False
bar caffè;hotel bonola;"via torrazza n. 15 ; isolato:101; accesso: accesso esterno; (z.d. 8)";via;torrazza;15;7360;8;solo somministrazione;somministrazione;al banco;"genere merceol.autorizz.sanit.;bar caffè";27.0;BAR;al banco;False
bar caffè;hotel valganna;"via vare' giovanni battista n. 32 ; isolato:028; accesso: accesso esterno; (z.d. 9)";via;vare' giovanni battista;32;1245;9;solo somministrazione;somministrazione;misto;"bar caffè;tavola fredda;ristorante;genere merceol.autorizz.sanit.";56.0;RISTORANTE;misto;False
bar caffè;ice cube;"via sighele n. 2 ; isolato:217; accesso: accesso esterno; (z.d. 4)";via;sighele;2;3289;4;solo somministrazione;somministrazione;misto;"bar caffè;tavola fredda;bar gastronomici e simili;genere merceol.autorizz.sanit.;seconda bottiglia";124.0;BAR;misto;False
bar caffè;ice light;"via santa maria segreta n. 6 ;via santa maria segreta 006; isolato:409; accesso: accesso esterno; (z.d. 1)";via;santa maria segreta;6;624;1;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;genere merceol.autorizz.sanit.;bar caffè;prodotti di gastronomia";28.0;BAR;misto;False
bar caffè;ice-nice (aisnais);"via manzoni alessandro n. 40 con ingresso su largo montagna;ingresso via 0240 num.000; accesso: accesso esterno; (z.d. 1)";via;manzoni alessandro;40;230;1;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;bar caffè;tavola fredda;bar caffè e simili;bar gastronomici e simili;genere merceol.autorizz.sanit.;cibi cotti preconfezionati";26.0;BAR;misto;False
bar caffè;i gemelli bar caffe;"via civitali matteo n. 21 ; isolato:280; accesso: accesso esterno; (z.d. 7)";via;civitali matteo;21;6569;7;solo somministrazione;somministrazione;al banco;"bar caffè e simili;tavola fredda;bar gastronomici e simili;wine,birr.,pub enot.,caff.,the;bar pasticc.gelat.crem.creper.;bar caffè;genere merceol.autorizz.sanit.";57.0;BAR;al banco;False
bar caffè;il bar;"via palmanova n. 56 ; isolato:041; accesso: accesso esterno; (z.d. 3)";via;palmanova;56;2390;3;solo somministrazione;somministrazione;misto;"tavola fredda;bar caffè;prodotti di gastronomia;genere merceol.autorizz.sanit.;bar gastronomici e simili";61.0;BAR;misto;False
bar caffè;il bar;"via pulci luigi n. 13 ; isolato:144; accesso: accesso esterno; (z.d. 9)";via;pulci luigi;13;1622;9;solo somministrazione;somministrazione;misto;"bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;prodotti di gastronomia;bar caffè";57.0;BAR;misto;False
bar caffè;il bar dell angolo;"via saldini cesare n. 4 ; isolato:191; accesso: accesso esterno; (z.d. 3)";via;saldini cesare;4;3206;3;solo somministrazione;somministrazione;misto;"genere merceol.autorizz.sanit.;prodotti di gastronomia;bar caffè e simili;bar caffè;tavola calda;ristorante, trattoria, osteria";91.0;RISTORANTE;misto;False
bar caffè;il baretto;"via colonna vittoria n. 45 ; isolato:211; accesso: accesso esterno; (z.d. 7)";via;colonna vittoria;45;6284;7;solo somministrazione;somministrazione;al banco;"tavola fredda;bar caffè e simili;elettr.automatici meccaniche;bar gastronomici e simili;genere merceol.autorizz.sanit.;bar caffè";33.0;BAR;al banco;False
bar caffè;il baretto;"via f.lli antona traversi n. 23 ; isolato:059; accesso: accesso esterno; (z.d. 8)";via;f.lli antona traversi;23;7354;8;solo somministrazione;somministrazione;al banco;"bar caffè;tavola fredda;bar caffè e simili";38.0;BAR;al banco;False
bar caffè;il baretto;"via menotti ciro n. 16 ; isolato:097; accesso: accesso esterno; (z.d. 3)";via;menotti ciro;16;3184;3;solo somministrazione;somministrazione;al banco;bar gastronomici e simili;44.0;BAR;al banco;False
bar caffè;il baretto;"via turati filippo n. 29 ; isolato:089; accesso: accesso esterno; (z.d. 1)";via;turati filippo;29;1053;1;solo somministrazione;somministrazione;al banco;"bar caffè e simili;bar caffè;cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda";59.0;BAR;al banco;False
